Flag,"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
Chile,TALBOR,9244178,"2025-11-12 07:48 (UTC -3)",-37.031811,-73.158669,0.1,182
Chile,ALF,9251913,"2025-11-12 07:57 (UTC -3)",-37.028481,-73.164467,0.0,17
Chile,PELICANO,9105671,"2025-11-12 07:56 (UTC -3)",-37.026661,-73.15625,0.1,214
Chile,"SAN JOSE",9184407,"2025-11-12 07:56 (UTC -3)",-26.846079,-71.079124,13.8,2
Chile,"CORSARIO I",9148477,"2025-11-12 07:50 (UTC -3)",-26.889334,-71.046722,5.5,205
Chile,"MARIA JOSE",9145499,"2025-11-12 07:48 (UTC -3)",-37.026535,-73.156311,0.0,31
Chile,CAZADOR,9151046,"2025-11-12 07:51 (UTC -3)",-28.03594,-71.497208,0.8,261
Chile,RUTH,9244166,"2025-11-12 07:58 (UTC -3)",-31.833023,-72.480705,15.1,358
Chile,VENTISQUERO,9143324,"2025-11-12 07:51 (UTC -3)",-37.027901,-73.162064,0.1,74
Chile,LONCO,9165138,"2025-11-12 07:48 (UTC -3)",-37.031872,-73.16069,0.0,262
Chile,VESTERVEG,9163013,"2025-11-12 07:48 (UTC -3)",-37.028622,-73.16375,0.0,66
Chile,"BUCANERO I",9148489,"2025-11-12 07:51 (UTC -3)",-26.913439,-71.178619,10.1,253
Chile,PEHUENCO,9124457,"2025-10-24 14:45 (UTC -3)",-33.036942,-71.622719,0.1,118
Chile,"CENTINELA I",9657210,"2025-11-12 07:50 (UTC -3)",-26.814974,-70.968811,12.0,1
Chile,"DON JULIO",9114335,"2025-11-12 07:50 (UTC -3)",-37.030182,-73.163574,0.0,250
Chile,"DON ALFONSO",9169251,"2025-11-12 07:51 (UTC -3)",-31.712727,-72.486534,6.0,184
Chile,"DON EDMUNDO",9160918,"2025-11-12 07:57 (UTC -3)",-36.727795,-73.129776,0.0,230
Chile,"YELCHO I",9111785,"2025-11-12 07:57 (UTC -3)",-31.60795,-72.571304,8.0,39
Chile,"DON MANUEL",9141560,"2025-11-12 07:48 (UTC -3)",-36.726986,-73.129875,0.0,304
Chile,QUERELEMA,9073646,"2025-11-12 07:57 (UTC -3)",-36.726913,-73.130096,0.0,99
Chile,ERIKA,8505460,"2025-11-12 07:48 (UTC -3)",-36.7258,-73.130997,0.0,281
Chile,RAPANUI,9123063,"2025-11-12 07:49 (UTC -3)",-36.696667,-73.100319,0.0,172
Chile,"DON BORIS",9145504,"2025-11-12 07:48 (UTC -3)",-34.973282,-72.693344,12.0,20
Chile,"DON TITO",9105827,"2025-11-12 07:57 (UTC -3)",-35.47385,-72.798294,11.8,21
Chile,"VICHUQUEN II",9171668,"2025-11-12 07:52 (UTC -3)",-36.727142,-73.129822,0.0,238
Chile,JAVIER,9050046,"2025-11-12 07:50 (UTC -3)",-37.029247,-73.162025,0.1,60
Chile,"CORAL I",9044982,"2025-11-12 07:53 (UTC -3)",-27.286667,-71.353333,9.0,291
Chile,"SANTA MARIA II",9141584,"2025-11-12 07:53 (UTC -3)",-37.099998,-73.165001,0.0,44
Chile,LIDER,9169237,"2025-11-12 07:57 (UTC -3)",-26.708752,-71.068176,12.8,75
Chile,COBRA,9160695,"2025-11-12 07:57 (UTC -3)",-36.725842,-73.130775,0.1,296
